split,group_id,member_count,redundant_row_count,raw_variant_count,normalization_merged_variants,has_label_conflict,has_mixed_missing_labels,conflicting_label_columns,mixed_missing_label_columns,member_ids,representative_preview
train,003c866871a57c9e974bef3b0ea26847c1ad9129c7a666589e7fac6b4de74a7e,2,1,1,False,True,False,Chất liệu|Kiểu dáng,,24340|58505,"size s nhưng mà thấy to lắm như size l, nói chung với giá tiền này thì cũng tốt"
train,00bf04822011c9123e93de56a813ad64648e8a15a3d3a1488d3cd1f8d0025c15,2,1,1,False,True,False,Kích cỡ,,13798|55869,"thời trang và sang trọng, ôm vừa vặn và thoải mái,"
train,07045de909e564bd17e717d54999874fc0504b63f9a634acaa4fd54dce0d4d3b,2,1,1,False,True,False,Chất liệu,,30492|39026,giá rẻ nhưng sản phẩm tốt. chắc là sẽ đặt 1 cái màu khác để thay đổi
train,08b676c6dcedfe44d66b0e5c8774517a43161120732cf30b958d19df5715793c,2,1,1,False,True,False,Kiểu dáng|Kích cỡ,,35234|51456,"chất liệu mềm mại và bền đẹp, vừa vặn với mọi dáng người, ôm vừa vặn và thoải mái, thiết kế nút độc đáo,"
train,110703e98947325b7fa61a20949b63a5ef687eb2aa20ce25f315499a1a3ac100,2,1,1,False,True,False,Giá cả,,30890|82178,giá đó chất liệu vậy là tốt chứ không yêu cầu tốt hơn tốt
train,194528425200bde499d2261ea2f59af45b5cc410193fec84f46038360e354416,2,1,1,False,True,False,Chất liệu|Kiểu dáng|Kích cỡ,,21061|57957,"quần jean baggy thời trang, chất liệu mềm mại và bền đẹp, vừa vặn với mọi dáng người, áo hơi mỏng"
train,1a998b75ddb141eb79247a8cf379621acc2312c5dbec1baa9454f9e2b76d0b19,2,1,1,False,True,False,Chất liệu|Kiểu dáng|Giá cả|Dịch vụ,,9322|73252,"cửa hàng bán đồ không tốt,treo đầu dê bán thịt chó, tôi mua màu hồng giao hàng sọc trắng đen"
train,2064d912331aaa487e3a69275fad4d5455a9e330dca7053f6f60bacf6f8c1811,2,1,1,False,True,False,Kiểu dáng|Kích cỡ,,48762|49988,chất liệu vải tốt lên form chuẩn giao hàng nhanh tốt hợp túi tiền
train,38476dc89847f1f79731cc6ad106d5de5f207cb6a1f2e0fee201009df7c89f2a,2,1,1,False,True,False,Kích cỡ,,44687|55441,"đặt quần này giao quần kia, làm ăn kiểu này ai mà dám mua"
train,4ccfa76de336a102e03b27344d2f4f486d932eabd7d8559d0e844b828dc59af5,2,1,1,False,True,False,Chất liệu,,28568|30977,vừa rộng vừa bự vải mỏng nữa
train,4f90bdc0e6cb714b3958985fbe08ec69ef36511037a261f3a94a179f5a71d7d0,2,1,1,False,True,False,Chất liệu|Giá cả,,55480|64044,"hàng tốt lắm í mà vải hơi mỏng, thôi tiền nào của nấy"
train,522b628d642485e6b0a41b63f626e675c274cf57e76d9a3d14a3d72a5fb63ba3,2,1,1,False,True,False,Giá cả,,24244|71997,"giá tốt, hàng đẹp 5 nhé"
train,744ff1188b08472633610fb6d9164bc2250355790ae8d2b07af3f3824bf3a04b,2,1,1,False,True,False,Chất liệu,,45702|68281,"vừa đẹp không nhưng ảo mỏng, màu quần không như trong hình"
train,7c8f3d4a0beb956cd764f717dc7ed1b4df451ebfb57ca3f27323162dfbcff801,2,1,1,False,True,False,Giá cả,,2721|34902,"treo đầu dê bán thịt chó, sẽ không mua ở đây nữa"
train,8351a57930b1337c34e2389b0737f4b9a05f5d78d5378d4e067973c4ca9206ac,2,1,1,False,True,False,Kiểu dáng,,49729|81766,chất áo vải vô cùng mỏng tưởng tượng có thể nhìn xuyên qua được luôn ấy. đây chun thắt áo kém chất lượng và không giống như mô tả. cái này là mình đánh giá á...
train,8532d02b3f27369a58154898f3d47642192edc53cad453d5cc029c9ea794d70f,2,1,1,False,True,False,Giá cả,,56538|71093,ổn vừa vặn 45 55kg đẹp. ổn trong tầm giá
train,96af2e645ea5cc217f6be92bb7390d9a1ee14fbdfd47d700396adf07433da873,2,1,1,False,True,False,Giá cả,,7465|39865,"đầm về không giống hình gì hết trơn định treo đầu dê bán thịt chó hay sao á, không hài lòng chút nào hết"
